name Esperite
cas 12
id 12
Raman_shift Intensity
784.853 9.79248
785.3351 11.78198
785.8173 11.76587
786.2994 8.935303
786.7815 3.276611
787.2636 0.49292
787.7457 1.703857
788.2278 0.225098
788.71 4.647461
789.1921 12.16431
789.6742 19.29419
790.1563 26.87817
790.6384 32.67041
791.1205 37.84546
791.6026 39.93506
792.0847 35.86401
792.5668 28.39941
793.049 21.58765
793.5311 16.67822
794.0132 13.71313
794.4953 13.89624
794.9774 15.48291
795.4595 15.04761
795.9417 12.9397
796.4238 11.56885
796.9059 11.7312
797.388 12.69751
797.8701 13.8291
798.3522 15.04932
798.8344 14.93848
799.3165 11.51416
799.7986 10.50708
800.2807 16.90015
800.7628 22.22192
801.2449 19.0249
801.7271 10.77881
802.2092 7.578125
802.6913 14.14404
803.1734 19.97949
803.6555 17.82202
804.1376 13.57031
804.6198 13.9895
805.1019 18.1438
805.584 21.71851
806.0661 22.8335
806.5482 22.99438
807.0303 24.40234
807.5125 24.65039
807.9946 24.45557
808.4767 25.50366
808.9588 24.29102
809.4409 24.67627
809.923 26.06543
810.4052 28.51147
810.8873 31.94897
811.3694 32.2229
811.8515 26.76196
812.3336 21.66577
812.8157 16.95142
813.2979 13.97046
813.78 14.89233
814.2621 18.34546
814.7442 20.46094
815.2263 19.24829
815.7084 18.19556
816.1906 21.47876
816.6727 26.7998
817.1548 29.65308
817.6369 30.12964
818.119 30.07715
818.6011 29.98657
819.0833 31.07471
819.5654 35.75879
820.0475 44.31445
820.5296 47.98535
821.0117 44.86328
821.4938 40.81104
821.976 37.33691
822.4581 33.44604
822.9402 27.47827
823.4223 20.18091
823.9044 15.07983
824.3865 13.89404
824.8687 13.42871
825.3508 12.20581
825.8329 11.34106
826.315 12.47314
826.7971 14.92041
827.2792 16.82886
827.7614 17.41064
828.2435 16.60498
